,JOB_TITLE,Company_Name,link,Location,Time
399,Rezo.AI - Senior Business Data Analyst - Data Modeling/Mining,Rezo.ai,https://uk.linkedin.com/company/wpp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Noida, Uttar Pradesh, India",5 months ago
400,Business Analyst,Simform,https://in.linkedin.com/company/acmeservices?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ahmedabad, Gujarat, India",5 months ago
401,Business Analyst,CredenTek Software & Consultancy Pvt Ltd,https://uk.linkedin.com/company/accelya?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India",1 month ago
402,Rezo.AI - Senior Business Data Analyst - Data Modeling/Mining,Rezo.ai,https://ch.linkedin.com/company/te-connectivity?trk=public_jobs_jserp-result_job-search-card-subtitle,"Noida, Uttar Pradesh, India",1 month ago
403,FabHotels - Business Analyst,FabHotels,https://ch.linkedin.com/company/roche?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurugram, Haryana, India",1 month ago
404,Business Analyst,Corporate Steps,https://in.linkedin.com/company/anaxee-technologies-pvt-ltd-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",4 months ago
405,ITAM Business Analyst,WPP,https://in.linkedin.com/company/zigsaw-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",5 months ago
406,Business Analyst,Acme Services,https://in.linkedin.com/company/getvantage?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",4 days ago
407,Analyst II - Business Analysis,Accelya Group,https://in.linkedin.com/company/boyenhaddin?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",5 months ago
408,ANALYST EVENT MARKETING,TE Connectivity,https://uk.linkedin.com/company/accelya?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",3 months ago
409,Sr / Lead - Market Research Analyst,Roche,https://in.linkedin.com/company/fragma-data-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",1 month ago
410,Business Analyst,Anaxee Technologies Private Limited,https://in.linkedin.com/company/youngminds-technology-solutions-pvt-ltd---india?trk=public_jobs_jserp-result_job-search-card-subtitle,"Indore, Madhya Pradesh, India",4 months ago
411,Business Analyst,Zigsaw,https://in.linkedin.com/company/jrautomationtechnologypvtltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kerala, India",1 week ago
412,Business Analyst,GetVantage,https://in.linkedin.com/company/corporatesteps?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",3 weeks ago
413,Business Analyst,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://in.linkedin.com/company/jiva-infotech?trk=public_jobs_jserp-result_job-search-card-subtitle,Mumbai Metropolitan Region,2 months ago
414,Specialist - Business Analysis,Accelya Group,https://www.linkedin.com/company/andreglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",2 days ago
415,Business Analyst with SQL & Banking Domain,Fragma Data Systems,https://au.linkedin.com/company/idp-education-pty-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru North, Karnataka, India",3 days ago
416,Search Engine Optimization Analyst,Youngminds Technology Solutions Pvt Ltd - India,https://in.linkedin.com/company/inspiration-manpower-consultancy-pvt-ltd-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tirupati, Andhra Pradesh, India",6 days ago
417,Marketing Analyst,JR Automation Technology Pvt Ltd ®,https://in.linkedin.com/company/inspiration-manpower-consultancy-pvt-ltd-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gandhinagar, Gujarat, India",2 weeks ago
418,Business Analyst,Corporate Steps,https://in.linkedin.com/company/youngminds-technology-solutions-pvt-ltd---india?trk=public_jobs_jserp-result_job-search-card-subtitle,"Delhi, Delhi, India",4 months ago
419,Marketing Analyst,JIVA InfoTech Inc.,https://in.linkedin.com/company/jrautomationtechnologypvtltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",1 month ago
420,Business Analyst- Guidewire Digital Portal- Remote,André,https://in.linkedin.com/company/corporatesteps?trk=public_jobs_jserp-result_job-search-card-subtitle,India,6 days ago
421,Business Analyst,IDP Education Ltd,https://in.linkedin.com/company/jiva-infotech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",1 month ago
422,BUSINESS ANALYST- Bangalore,Inspiration Manpower Consultancy Pvt Ltd.,https://www.linkedin.com/company/andreglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",1 month ago
423,BUSINESS ANALYST- Bangalore,Inspiration Manpower Consultancy Pvt Ltd.,https://au.linkedin.com/company/idp-education-pty-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",4 months ago
424,Search Engine Optimization Analyst,Youngminds Technology Solutions Pvt Ltd - India,https://in.linkedin.com/company/inspiration-manpower-consultancy-pvt-ltd-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tirupati, Andhra Pradesh, India",1 month ago
425,Marketing Analyst,JR Automation Technology Pvt Ltd ®,https://in.linkedin.com/company/inspiration-manpower-consultancy-pvt-ltd-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gandhinagar, Gujarat, India",1 week ago
426,Business Analyst,Corporate Steps,https://www.linkedin.com/company/nrconsultingllc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Delhi, Delhi, India",2 months ago
427,Marketing Analyst,JIVA InfoTech Inc.,https://www.linkedin.com/company/cognizant?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",5 months ago
428,Business Analyst- Guidewire Digital Portal- Remote,André,https://in.linkedin.com/company/boyenhaddin?trk=public_jobs_jserp-result_job-search-card-subtitle,India,3 months ago
429,Business Analyst,IDP Education Ltd,https://in.linkedin.com/company/boyenhaddin?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",4 days ago
430,BUSINESS ANALYST- Bangalore,Inspiration Manpower Consultancy Pvt Ltd.,https://my.linkedin.com/company/jiviews?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",5 months ago
431,BUSINESS ANALYST- Bangalore,Inspiration Manpower Consultancy Pvt Ltd.,https://in.linkedin.com/company/fatakpay?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",1 month ago
432,Business Analysts.,NR Consulting,https://in.linkedin.com/company/wibitsweb?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",1 month ago
433,Business Analyst,Cognizant,https://uk.linkedin.com/company/bt?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Kolkata Area,4 months ago
434,Post for Business Analyst- - Sharepoint,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://in.linkedin.com/company/acetalent-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Kolkata Area,5 days ago
435,Business Analyst,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://www.linkedin.com/company/fusion-plus-solutions-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",3 months ago
436,Business Analyst,JIVI (JIVIEWS),https://in.linkedin.com/company/triaksha-automation-technologies-pvt-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",1 month ago
437,Business Analyst,FatakPay,https://in.linkedin.com/company/keka-hr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",2 weeks ago
438,SEO Analyst,Wibits Web Solutions LLP,https://in.linkedin.com/company/keka-hr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Nagercoil, Tamil Nadu, India",4 months ago
439,Business analysis and planning support,BT Group,https://in.linkedin.com/company/fragma-data-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Delhi, India",5 days ago
440,Business Analyst,Ace Talent Consulting India,https://www.linkedin.com/company/milestone-internet-marketing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",1 month ago
441,business analysis,Fusion Plus Solutions Inc,https://in.linkedin.com/company/hiddenbrains-infotech-pvt-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",1 month ago
442,Business Analyst _ Software Solutions,Triaksha Automation Technologies Pvt. Ltd.,https://in.linkedin.com/company/fieldassist?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bangalore Urban, Karnataka, India",1 week ago
443,Market Research Analyst,Keka HR,https://in.linkedin.com/company/weareuplers?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",1 day ago
444,Market Research Analyst - Intern,Keka HR,https://www.linkedin.com/company/harman-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",3 months ago
445,Business Analyst with SQL & Banking Domain,Fragma Data Systems,https://in.linkedin.com/company/get-crest?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru North, Karnataka, India",1 week ago
446,Senior SEO Analyst,Milestone Inc,https://in.linkedin.com/company/6w-research?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",4 weeks ago
447,Business Analyst,Hidden Brains InfoTech Pvt. Ltd.,https://in.linkedin.com/company/weareuplers?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ahmedabad, Gujarat, India",4 months ago
448,Interesting Job Opportunity: FieldAssist - Business Analyst - Founder&apos;s Office,FieldAssist,https://in.linkedin.com/company/zigsaw-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurugram, Haryana, India",3 months ago
449,Paid Social Analyst- WFH,Uplers,https://in.linkedin.com/company/kpmgindia?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India",5 months ago
450,Sr. Business Analyst—MDG,HARMAN International,https://in.linkedin.com/company/codersbrain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",3 months ago
451,Business Analyst,Crest,https://www.linkedin.com/company/fusion-plus-solutions-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",3 weeks ago
452,Hire now Research Analyst/ Senior Research Analyst,6Wresearch,https://in.linkedin.com/company/tamcherry-zaportiv?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",4 months ago
453,Paid Social Analyst- WFH,Uplers,https://www.linkedin.com/company/ameriprise-financial-services-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,India,2 weeks ago
454,Business Analyst,Zigsaw,https://in.linkedin.com/company/arm-infotech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Alappuzha, Kerala, India",3 months ago
455,Business Analyst- Consultant,KPMG India,https://jp.linkedin.com/company/smarthrjp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",3 months ago
456,Business Analyst_DhwaniBhatt,CodersBrain,https://uk.linkedin.com/company/barclays-bank?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",4 months ago
457,Business analysis,Fusion Plus Solutions Inc,https://in.linkedin.com/company/zigsaw-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",4 months ago
458,Business Analyst,Tamcherry - Zaportiv,https://in.linkedin.com/company/boyenhaddin?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bangalore Urban, Karnataka, India",1 month ago
459,Business Analyst (Salesforce Administrator),"Ameriprise Financial Services, LLC",https://in.linkedin.com/company/ebizon?trk=public_jobs_jserp-result_job-search-card-subtitle,"Noida, Uttar Pradesh, India",3 months ago
460,SEO Analyst,ARM InfoTech,https://in.linkedin.com/company/gminfotech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madurai, Tamil Nadu, India",4 days ago
461,マーケティング（データアナリスト）,"SmartHR, Inc.",https://www.linkedin.com/company/telusinternationalaidatasolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jehanabad, Bihar, India",1 week ago
462,Business Analyst,Barclays,https://in.linkedin.com/company/triaksha-automation-technologies-pvt-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India",2 days ago
463,Business Analyst,Zigsaw,https://www.linkedin.com/company/boston-scientific?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ahmedabad, Gujarat, India",4 days ago
464,Business Analyst,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://in.linkedin.com/company/radicalstart?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",4 months ago
465,Freshers for Email Marketing Analyst ll Noida,EbizON,https://in.linkedin.com/company/fragma-data-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Noida, Uttar Pradesh, India",1 week ago
466,Business Analyst,GM Infotech,https://www.linkedin.com/company/alation?trk=public_jobs_jserp-result_job-search-card-subtitle,"Thane, Maharashtra, India",2 days ago
467,Media Search Analyst - English Speaker INDIA,TELUS International AI Data Solutions,https://in.linkedin.com/company/elysium-group-of-companies?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Delhi, Delhi, India",4 days ago
468,Business Analyst ( Warehouse Management System ),Triaksha Automation Technologies Pvt. Ltd.,https://in.linkedin.com/company/elysium-group-of-companies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",4 months ago
469,Business Systems Analysis - P3,Boston Scientific,https://in.linkedin.com/company/beepkart?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurgaon, Haryana, India",1 month ago
470,Sr. SEO Analyst,RadicalStart,https://www.linkedin.com/company/kochindustries?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madurai, Tamil Nadu, India",2 months ago
471,Business Analyst (Banking Domain|SQL|Excel),Fragma Data Systems,https://in.linkedin.com/company/acmeservices?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru North, Karnataka, India",2 weeks ago
472,Campaign Operations Senior Analyst,Alation,https://in.linkedin.com/company/boyenhaddin?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",1 day ago
473,Elysium Group - Analyst - Search Engine Optimization,Elysium Group of Companies,https://in.linkedin.com/company/coreinsightsai?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Madurai Area,3 months ago
